College Code,College Name,,Branch Name,OC,BC,BCM,MBC,SC,SCA,ST,PickMyCareer Rank,Branch Code
2379,Government College of Engineering Gandarvakottai Road Sengipatti Thanjavur District 613402,,ELECTRONICS AND COMMUNICATION ENGINEERING,167.5,157.5,148.5,155,143,134.5,128,96,8
2388,Government College of Engineering (Autonomous) Karuppur Salem District 636011,,ELECTRONICS AND COMMUNICATION ENGINEERING,190.5,188.5,184.5,187.5,174,162.5,185,97,8
2390,Thiagarajar College of Engineering (Autonomous) Tirupparankundram Madurai District 625015,,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),194,192.5,189.5,188,167.5,144,146,98,8
2417,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),199,198.5,197.5,197,191.5,190,175.5,99,8
2418,Coimbatore Institute of Technology (Autonomous) Civil Aerodrome Post Coimbatore District 641014,,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),195,194,193,192.5,176,170.5,164,100,8
2421,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,,ELECTRONICS AND INSTRUMENTATION ENGINEERING,189.4545455,187,188,186,170,163.5,149.5,101,9
2485,Sri Sivasubramaniya Nadar College of Engineering (Autonomous) Kalavakkam Old Mahabalipuram Road (OMR) Chengalpattu District 603110,,INFORMATION TECHNOLOGY,198,197,195.5,195.5,181.5,172.5,162.5,102,10
2502,SRM Valliammai Engineering College (Autonomous) Kattankulathur Chennai 603203,,INFORMATION TECHNOLOGY,176,171,174,168.5,142.5,139.5,118,103,10
2503,Sri Krishna College of Enginering and Technology (Autonomous) Kuniamuthur Coimbatore District 641008,,INFORMATION TECHNOLOGY,189,187,182,184.205,144.5,133.5,141,104,10
2517,Bannari Amman Institute of Technology (Autonomous) Sathyamanagalam Erode District 638401,,INFORMATION TECHNOLOGY,184.5,179.5,169,175,133,136.5,104.5,105,10
2531,Kongu Engineering College (Autonomous) Perundurai Erode District 638052,,INFORMATION TECHNOLOGY,182,177,166,171.5,121,122,134.5,106,10
2552,Dhanalakshmi Srinivasan College of Engineering and Technology East Coast Road Poonjeri Chennai 603104,,INFORMATION TECHNOLOGY,138,116,106,114.5,90.5,136.5,90.5,107,10
2577,Kumaraguru College of Technology (Autonomous) Chinnavedampatti Post Coimbatore District 641006,,INFORMATION TECHNOLOGY,193.5,191.5,186.81,188.5,166.5,146.5,165,108,10
2579,Government College of Engineering (Formerly Institute of Road and Transport Technology) Vasavi College Post Erode District 638316,,INFORMATION TECHNOLOGY,187,179,177,180,164.5,169,157,109,10
2585,Dr. Mahalingam College of Engineering and Technology (Autonomous) Mackinaickenpatti Post Pollachi Taluk Coimbatore District 642003,,INFORMATION TECHNOLOGY,172.5,169,165.5,158,115,122,109,110,10
2590,Nehru Institute of Technology (Autonomous) Thirumalayampalayam Post Coimbatore District 641105,,INFORMATION TECHNOLOGY,154,142.5,139.5,142,121,119,93.5,111,10
2626,KGISL Institute of Technology KGISL Campus Thudiyalur Road Saravanampatti Coimbatore District 641035,,INFORMATION TECHNOLOGY,176,161.5,168.5,153,134,163.5,119.5,112,10
2730,R M K Engineering College (Autonomous) Kavaraipettai Gummidipoondi Thiruvallur District 601206,,INFORMATION TECHNOLOGY,184,180.5,180,173.5,144,103,107.5,113,10
2746,Rajalakshmi Engineering College (Autonomous) Thandalam Sriperumpudur Taluk Kancheepuram District 602105,,INFORMATION TECHNOLOGY,188.5,185,186,184.5,158.5,135,153.5,114,10
